,,有任何問題或建議歡迎在X上私訊，或寄信jacksontseng8495@gmail.com,,,,,,,,,,,,,,
股票代號,股票名稱,產業,年初價,現價,YTD,目標價,潛在幅度,24EPS(F),25EPS(F),YoY,24PE(F),(T)PE,市值,報告日期,券商,報告動能觀點
3661,世芯-KY,半導體業,3340,2180,-34.73%,3700,69.72%,67.27,105.71,57.14%,32.41x,55x,1741.38億,2024/9/18,citi,"AWS業務過渡：管理層提到從2024年第4季開始，AWS業務將進行轉型，市場普遍預期AWS業務在2025年上半年可能下降。然而，Intel的Gaudi AI加速器和AWS的下一代3奈米AI ASIC（最早於2025年下半年開始貢獻）將支撐2025年營收增長。
Intel競爭分析：Intel將為AWS生產AI Fabric晶片和Xeon 6客製化晶片，但花旗認為這在未來兩年內不會直接與TSMC和3661競爭。
節點技術遷移：大部分專案將從2023/2024年的7奈米（N7）轉移至2024/2025年的5奈米（N5）和3奈米（N3）。花旗看好3661在台積電的AI ASIC專案，並認為其後端CoWoS設計的執行力將帶來穩定的20-30%的年度營收增長。
晶圓價格上漲：N5晶圓的價格至少比N7高50%，而N3的價格將是N7的兩倍。此外，台積電計劃在2025年提高先進製程的價格，這將進一步提升營收。
Falcon Shores：Intel宣布其下一代GPU（Falcon Shores）將整合Gaudi，預計2025/2026年推出。花旗認為，該產品的製造仍將由台積電進行，且參與的CoWoS設計可能性很高。"
8028,昇陽半導體,半導體業,52.1,125.5,140.88%,150,19.52%,3.1,4.71,51.94%,40.48x,48.4x,216.65億,2024/9/13,國泰,"再生晶圓市場需求大幅增溫：隨著製程技術不斷進步，如3nm及未來的2nm製程，再生晶圓的需求顯著增加。3nm製程需要更多再生晶圓進行測試和參數校準，而2nm的價值更是28nm製程的4.6倍。
產能擴充迅速：昇陽半導體積極擴充再生晶圓產能，預計到2026年將達到78萬片/月的產能，成為全球再生晶圓市場的龍頭。這種大幅度擴充有助於在未來的供應鏈中掌握更高的市場份額。
晶背供電技術的突破：承載晶圓技術是晶背供電(BSI)的關鍵技術之一，這種技術有助於解決電子元件在傳輸過程中的功率損耗及面積限制。昇陽半在此技術領先，並且預計從2025至2026年將開始大量貢獻收入。
與再生晶圓技術共用：承載晶圓製程與再生晶圓製程有80%的共用性，這意味著昇陽半可以藉由既有的技術基礎迅速進入這個新興市場，同時提升毛利率，因為承載晶圓的售價（ASP）約為再生晶圓的2.5倍。
成長動能強勁：昇陽半導體預計在2024年營收為35.84億元，同比增長7.7%，淨利增長71.4%。第三季及第四季的成長主要來自再生晶圓及DRMOS需求的增溫。
技術風險：晶背供電及相關技術仍在發展中，技術突破的時間點和實際應用的進展可能影響短期業績。此外，全球半導體市場需求波動也會對再生晶圓需求產生影響。"
3016,嘉晶,半導體業,61.9,59.8,-3.39%,60,0.33%,0.83,0.75,-9.64%,72.05x,72.3x,172.55億,2024/9/12,華南,"今年上半年矽磊晶營收占比約8成，矽磊晶營收再2024年第一季見到谷底後開始回升，公司預估2025年喜磊晶營收仍會緩慢回升。
化合物半導體磊晶中，GaN磊晶營收預估將持續成長，SiC磊晶再2024年第四第客戶認證通過後營收也會開始回升。在節能減碳及提高能源效率的需求帶動下，公司預估化合物半導體磊晶營收將逐年明顯成長。
2024H1客戶仍在庫存調整，經濟不確定性仍高，下半年公司保守看待。
化合物半導體在電動車、AI、資料中心、機器人、工控與消費性產品應用將持續增加
8吋GaN磊晶目前小量試產中，8吋SiC磊晶預計2024年Q3完成研發，2024年Q4送樣客戶驗證，2025年有望小量試產"
9910,豐泰,運動休閒,174.5,152.5,-12.61%,140,-8.20%,6.45,7.37,14.26%,23.64x,21.7x,1505.91億,2024/9/12,HSBC,"豐泰是 Nike 的主要代工廠之一，佔 Nike 訂單的 16-18%，目前因 Nike 表現不佳，訂單展望不明確。
儘管面臨挑戰，豐泰預計 2024 年下半年仍會有輕微的年增長，這主要得益於其籃球鞋領域的較高佔比，而該市場仍在增長。
但 Nike 訂單的能見度已從原本的 2-3 個月縮短到僅剩 1 個月。
截至 2024 年 8 月，豐泰的銷售額僅同比增長 4%，其產能利用率維持在 80% 左右，遠低於 2022 年的 90% 以上。
新增的休閒鞋客戶已開始貢獻銷售額，但影響目前仍較小。
印度和越南的新工廠已開始投產，這些業務目前仍虧損，但預計隨著生產規模的擴大，將於 2025 年下半年達到損益平衡。
豐泰在 2024 年 7 月和 8 月的淨利潤為新台幣 11.16 億元（每股盈餘：新台幣 1.13 元），達到匯豐銀行對第三季預測的 61%。
得益於效率提升和成本削減措施，7 月和 8 月的營業利潤率（OPM）分別達到 10.1%-10.8%，高於 2024 年上半年的 7.8%。
OPM 嚴重依賴產能利用率。2022 年下半年，當豐泰的產能利用率超過 90% 時，OPM 提升至 13-14%。"
1319,東陽,汽車工業,76.3,110,44.17%,140,27.27%,,7,#DIV/0!,,,650.62億,2024/9/12,大華,"第三季度初營運利潤：東陽的累計營運利潤占我們預估的84.6%，占市場共識預估的69.6%；稅前利潤累計則占我們預估的78.2%，占市場共識預估的64.5%。此強勁表現歸因於售後服務（AM）業務的穩健成長及中國OEM業務的復甦。
累計稅前利潤優於預期：東陽8月營運利潤為TWD3.96億元，較上月增長9.7%，但同比下降31.8%。累計營運利潤分別占我們預估的84.6%及市場共識預估的69.6%。這主要歸因於AM及中國OEM業務的毛利率表現穩定。8月營業利潤率為18.6%，高於7月的17.9%及2023年8月的17.0%。但由於匯兌損失TWD1.08億元（7月匯兌收益TWD6200萬元），8月稅前利潤為TWD3.17億元，較上月下降24.4%，同比下降25.7%。
8月營收更新：東陽8月營收為TWD21.27億元，較上月增長5.5%，同比增長2.4%。2024年前8個月營收累計年增9.0%，OEM銷售年增4.4%，AM銷售年增10.6%。
進入旺季：東陽AM業務2024年前8個月營收同比增長10.6%，而OEM營收則增長4.4%。我們預計東陽的3Q24營收將環比持平或略微下降，表現優於通常的季節性趨勢。隨著第四季度和2025年第一季度的補貨需求高峰到來，美國AM市場滲透率的提升也使得目前可能是東陽的良好進場點。"
6285,啟碁,通信網路業,155.5,119.5,-23.15%,140,17.15%,7.33,8.93,21.83%,16.3x,19.1x,579.88億,2024/9/11,富邦,正向看待Space太空產業發展，相關供應鏈商機
2313,華通,電子零組件業,71,70,-1.41%,100,42.86%,5.4,7.16,32.59%,12.96x,18.5x,835.47億,2024/9/11,富邦,正向看待Space太空產業發展，相關供應鏈商機
3491,昇達科,通信網路業,#N/A,#N/A,#N/A,340,#N/A,9.06,11.54,27.37%,#N/A,37.5x,#N/A,2024/9/11,富邦,正向看待Space太空產業發展，相關供應鏈商機
1476,儒鴻,紡織纖維,561,558,-0.53%,625,12.01%,,,,,,1530.97億,2024/9/11,元大,成衣產業接單狀況良好，後續訂單動能無虞
