股票代號,股票名稱,YahooFinanceSymbol,YearStartPrice
1101,台泥,1101.TW,31.55
1102,亞泥,1102.TW,40.25
1103,嘉泥,1103.TW,16.90
1104,環泥,1104.TW,28.45
1108,幸福,1108.TW,14.45
1109,信大,1109.TW,17.65
1110,東泥,1110.TW,20.40
1201,味全,1201.TW,17.80
1203,味王,1203.TW,40.00
1210,大成,1210.TW,51.10
1213,大飲,1213.TW,15.75
1215,卜蜂,1215.TW,90.50
1216,統一,1216.TW,80.40
1217,愛之味,1217.TW,11.70
1218,泰山,1218.TW,19.70
1219,福壽,1219.TW,15.10
1220,台榮,1220.TW,17.65
1225,福懋油,1225.TW,40.35
1227,佳格,1227.TW,36.45
1229,聯華,1229.TW,50.60
1231,聯華食,1231.TW,139.00
1232,大統益,1232.TW,146.00
1233,天仁,1233.TW,29.70
1234,黑松,1234.TW,40.85
1235,興泰,1235.TW,72.10
1236,宏亞,1236.TW,22.80
1240,茂生農經,1240.TWO,52.20
1256,鮮活果汁-KY,1256.TW,131.50
1259,安心,1259.TWO,64.00
1264,德麥,1264.TWO,311.50
1268,漢來美食,1268.TWO,150.00
1294,漢田生技,1294.TWO,94.00
1301,台塑,1301.TW,35.30
1303,南亞,1303.TW,29.70
1304,台聚,1304.TW,10.75
1305,華夏,1305.TW,11.85
1307,三芳,1307.TW,36.80
1308,亞聚,1308.TW,13.50
1309,台達化,1309.TW,13.70
1310,台苯,1310.TW,9.50
1312,國喬,1312.TW,10.45
1313,聯成,1313.TW,8.86
1314,中石化,1314.TW,7.32
1315,達新,1315.TW,69.60
1316,上曜,1316.TW,15.25
1319,東陽,1319.TW,111.50
1321,大洋,1321.TW,32.70
1323,永裕,1323.TW,24.30
1324,地球,1324.TW,12.65
1325,恆大,1325.TW,29.10
1326,台化,1326.TW,27.10
1336,台翰,1336.TWO,24.45
1337,再生-KY,1337.TW,6.53
1338,廣華-KY,1338.TW,27.25
1339,昭輝,1339.TW,55.10
1340,勝悅-KY,1340.TW,9.10
1341,富林-KY,1341.TW,67.30
1342,八貫,1342.TW,99.90
1402,遠東新,1402.TW,31.45
1409,新纖,1409.TW,14.65
1410,南染,1410.TW,35.45
1413,宏洲,1413.TW,10.90
1414,東和,1414.TW,24.70
1416,廣豐,1416.TW,12.95
1417,嘉裕,1417.TW,9.70
1418,東華,1418.TW,29.95
1419,新紡,1419.TW,43.95
1423,利華,1423.TW,36.80
1432,大魯閣,1432.TW,20.90
1434,福懋,1434.TW,18.25
1435,中福,1435.TW,32.35
1436,華友聯,1436.TW,123.50
1437,勤益控,1437.TW,33.25
1438,三地開發,1438.TW,55.00
1439,雋揚,1439.TW,32.30
1440,南紡,1440.TW,14.00
1441,大東,1441.TW,14.00
1442,名軒,1442.TW,75.80
1443,立益物流,1443.TW,31.30
1444,力麗,1444.TW,8.86
1445,大宇,1445.TW,16.65
1446,宏和,1446.TW,40.65
1447,力鵬,1447.TW,7.12
1449,佳和,1449.TW,22.85
1451,年興,1451.TW,19.60
1452,宏益,1452.TW,15.20
1453,大將,1453.TW,14.95
1454,台富,1454.TW,14.90
1455,集盛,1455.TW,9.64
1456,怡華,1456.TW,15.90
1457,宜進,1457.TW,19.60
1459,聯發,1459.TW,10.00
1460,宏遠,1460.TW,7.19
1463,強盛新,1463.TW,24.90
1464,得力,1464.TW,16.70
1465,偉全,1465.TW,14.15
1466,聚隆,1466.TW,11.80
1467,南緯,1467.TW,10.30
1468,昶和,1468.TW,13.35
1470,大統新創,1470.TW,23.05
1471,首利,1471.TW,13.30
1472,三洋實業,1472.TW,63.60
1473,台南,1473.TW,35.30
1474,弘裕,1474.TW,12.55
1475,業旺,1475.TW,56.90
1476,儒鴻,1476.TW,503.00
1477,聚陽,1477.TW,320.00
1503,士電,1503.TW,192.00
1504,東元,1504.TW,52.20
1506,正道,1506.TW,12.85
1512,瑞利,1512.TW,6.85
1513,中興電,1513.TW,155.00
1514,亞力,1514.TW,101.00
1515,力山,1515.TW,30.50
1516,川飛,1516.TW,17.90
1517,利奇,1517.TW,13.70
1519,華城,1519.TW,565.00
1521,大億,1521.TW,29.75
1522,堤維西,1522.TW,63.30
1524,耿鼎,1524.TW,38.00
1525,江申,1525.TW,60.50
1526,日馳,1526.TW,24.45
1527,鑽全,1527.TW,41.85
